id;note_1;note_2;note_3;vertical;tonality_maj;base_chord;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq;chord_maj
Gs_E_maj6_E_V6_mel;G#4;;E5;False;False;E_V6_arp;;;;;Малая секста;140;False;Gs4_E5;Gs4_E5;
E_V64_arp;B4;E5;G#5;False;False;E_V64_arp;Доминантовый квартсекстаккорд;9;В середине;Второе обращение;;141;;B4_E5_Gs5;B4_E5_Gs5;True
B_E_perf4_E_V64_mel;B4;E5;;False;False;E_V64_arp;;;;;Кварта;142;False;B4_E5;B4_E5;
E_Gs_min3_E_V64_mel;;E5;G#5;False;False;E_V64_arp;;;;;Большая терция;143;False;E5_Gs5;E5_Gs5;
B_Gs_min6_E_V64_mel;B4;;G#5;False;False;E_V64_arp;;;;;Большая секста;144;False;B4_Gs5;B4_Gs5;
E_A_perf4_Am_I6_mel_desc;;A4;E4;False;False;Am_I6_arp;;;;;Кварта;145;True;A4_E4;A4_E4;
F_A_maj3_Dm_IV_mel_desc;;A4;F4;False;False;Dm_IV_arp;;;;;Большая терция;146;True;A4_F4;A4_F4;
C_A_maj6_Am_I6_mel_desc;A4;;C4;False;False;Am_I6_arp;;;;;Большая секста;147;True;A4_C4;A4_C4;
D_F_perf5_Dm_IV_mel_desc;A4;;D4;False;False;Dm_IV_arp;;;;;Квинта;148;True;A4_D4;A4_D4;
F_A_maj3_F_IV64_mel_desc;;A5;F5;False;True;F_IV64_arp;;;;;Большая терция;149;True;A5_F5;A5_F5;
C_A_maj6_F_IV64_mel_desc;A5;;C5;False;True;F_IV64_arp;;;;;Большая секста;150;True;A5_C5;A5_C5;
Gs_B_maj3_E_V_mel_desc;;B4;G#4;False;False;E_V_arp;;;;;Малая терция;151;True;B4_Gs4;B4_Gs4;
E_B_perf5_E_V_mel_desc;B4;;E4;False;False;E_V_arp;;;;;Квинта;152;True;B4_E4;B4_E4;
G_B_maj3_G_V64_mel_desc;;B5;G5;False;True;G_V64_arp;;;;;Большая терция;153;True;B5_G5;B5_G5;
D_B_maj6_G_V64_mel_desc;B5;;D5;False;True;G_V64_arp;;;;;Большая секста;154;True;B5_D5;B5_D5;
A_C_min3_Am_I64_mel_desc;;C5;A4;False;False;Am_I64_arp;;;;;Малая терция;155;True;C5_A4;C5_A4;
A_C_min3_F_IV_mel_desc;;C5;A4;False;True;F_IV_arp;;;;;Малая терция;156;True;C5_A4;C5_A4;
G_C_perf4_C_I6_mel_desc;;C5;G4;False;True;C_I6_arp;;;;;Кварта;157;True;C5_G4;C5_G4;
E_C_min6_Am_I64_mel_desc;C5;;E4;False;False;Am_I64_arp;;;;;Малая секста;158;True;C5_E4;C5_E4;
E_C_min6_C_I6_mel_desc;C5;;E4;False;True;C_I6_arp;;;;;Малая секста;159;True;C5_E4;C5_E4;
F_C_perf5_F_IV_mel_desc;C5;;F4;False;True;F_IV_arp;;;;;Квинта;160;True;C5_F4;C5_F4;
A_D_perf4_Dm_IV6_mel_desc;;D5;A4;False;False;Dm_IV6_arp;;;;;Кварта;161;True;D5_A4;D5_A4;
B_D_min3_G_V_mel_desc;;D5;B4;False;True;G_V_arp;;;;;Малая терция;162;True;D5_B4;D5_B4;
F_D_maj6_Dm_IV6_mel_desc;D5;;F4;False;False;Dm_IV6_arp;;;;;Большая секста;163;True;D5_F4;D5_F4;
G_D_perf5_G_V_mel_desc;D5;;G4;False;True;G_V_arp;;;;;Квинта;164;True;D5_G4;D5_G4;
C_E_maj3_Am_I_mel_desc;;E4;C4;False;False;Am_I_arp;;;;;Большая терция;165;True;E4_C4;E4_C4;
A_E_perf5_Am_I_mel_desc;E4;;A3;False;False;Am_I_arp;;;;;Квинта;166;True;E4_A3;E4_A3;
B_E_perf4_E_V6_mel_desc;;E5;B4;False;False;E_V6_arp;;;;;Кварта;167;True;E5_B4;E5_B4;
C_E_maj3_C_64_mel_desc;;E5;C5;False;True;C_I64_arp;;;;;Большая терция;168;True;E5_C5;E5_C5;
Gs_E_maj6_E_V6_mel_desc;E5;;G#4;False;False;E_V6_arp;;;;;Малая секста;169;True;E5_Gs4;E5_Gs4;
G_E_maj6_C_I64_mel_desc;E5;;G4;False;True;C_I64_arp;;;;;Большая секста;171;True;E5_G4;E5_G4;
C_F_perf4_F_IV6_mel_desc;;F5;C5;False;True;F_IV6_arp;;;;;Кварта;172;True;F5_C5;F5_C5;
D_F_min3_Dm_IV64_mel_desc;;F5;D5;False;False;Dm_IV64_arp;;;;;Малая терция;173;True;F5_D5;F5_D5;
A_F_min6_Dm_IV64_mel_desc;F5;;A4;False;False;Dm_IV64_arp;;;;;Малая секста;174;True;F5_A4;F5_A4;
A_F_min6_F_IV6_mel_desc;F5;;A4;False;True;F_IV6_arp;;;;;Малая секста;175;True;F5_A4;F5_A4;
E_Gs_min3_E_V64_mel_desc;;G#5;E5;False;False;E_V64_arp;;;;;Большая терция;176;True;Gs5_E5;Gs5_E5;
B_Gs_min6_E_V64_mel_desc;G#5;;B4;False;False;E_V64_arp;;;;;Большая секста;177;True;Gs5_B4;Gs5_B4;
E_G_min3_C_I_mel_desc;;G4;E4;False;True;C_I_arp;;;;;Большая терция;178;True;G4_E4;G4_E4;
C_G_perf5_C_I_mel_desc;G4;;C4;False;True;C_I_arp;;;;;Квинта;179;True;G4_C4;G4_C4;
D_G_perf4_G_V6_mel_desc;;G5;D5;False;True;G_V6_arp;;;;;Кварта;180;True;G5_D5;G5_D5;
B_D_min6_G_V6_mel_desc;G5;;B4;False;True;G_V6_arp;;;;;Малая секста;181;True;G5_B4;G5_B4;
E_A_perf4_Am_I64_mel_desc;A4;E4;;False;False;Am_I64_arp;;;;;Кварта;182;True;A4_E4;A4_E4;
F_A_maj3_Dm_IV6_mel_desc;A4;F4;;False;False;Dm_IV6_arp;;;;;Большая терция;183;True;A4_F4;A4_F4;
F_A_maj3_F_IV_mel_desc;A4;F4;;False;True;F_IV_arp;;;;;Большая терция;184;True;A4_F4;A4_F4;
Gs_B_maj3_E_V6_mel_desc;B4;G#4;;False;False;E_V6_arp;;;;;Малая терция;185;True;B4_Gs4;B4_Gs4;
G_B_maj3_G_V_mel_desc;B4;G4;;False;True;G_V_arp;;;;;Большая терция;186;True;B4_G4;B4_G4;
A_C_min3_Am_I_mel_desc;C4;A3;;False;False;Am_I_arp;;;;;Малая терция;187;True;C4_A3;C4_A3;
A_C_min3_F_IV6_mel_desc;C5;A4;;False;True;F_IV6_arp;;;;;Малая терция;188;True;C5_A4;C5_A4;
G_C_perf4_C_I64_mel_desc;C5;G4;;False;True;C_I64_arp;;;;;Кварта;189;True;C5_G4;C5_G4;
A_D_perf4_Dm_IV64_mel_desc;D5;A4;;False;False;Dm_IV64_arp;;;;;Кварта;190;True;D5_A4;D5_A4;
B_D_min3_G_V6_mel_desc;D5;B4;;False;True;G_V6_arp;;;;;Малая терция;191;True;D5_B4;D5_B4;
C_E_maj3_Am_I6_mel_desc;E4;C4;;False;False;Am_I6_arp;;;;;Большая терция;192;True;E4_C4;E4_C4;
C_E_maj3_C_I_mel_desc;E4;C4;;False;True;C_I_arp;;;;;Большая терция;193;True;E4_C4;E4_C4;
B_E_perf4_E_V64_mel_desc;E5;B4;;False;False;E_V64_arp;;;;;Кварта;194;True;E5_B4;E5_B4;
D_F_min3_Dm_IV_mel_desc;F4;D4;;False;False;Dm_IV_arp;;;;;Малая терция;195;True;F4_D4;F4_D4;
C_F_perf4_F_IV64_mel_desc;F5;C5;;False;True;F_IV64_arp;;;;;Кварта;196;True;F5_C5;F5_C5;
E_Gs_min3_E_V_mel_desc;G#4;E4;;False;False;E_V_arp;;;;;Большая терция;197;True;Gs4_E4;Gs4_E4;
E_G_maj3_C_I6_mel_desc;G4;E4;;False;True;C_I6_arp;;;;;Большая терция;198;True;G4_E4;G4_E4;
D_G_perf4_G_V64_mel_desc;G5;D5;;False;True;G_V64_arp;;;;;Кварта;199;True;G5_D5;G5_D5;
