name;base_chord;note_1;note_2;note_3;vertical;tonality_maj;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq
B_E_perf4_E_V6_mel_desc;E_V6_arp;;E5;B4;False;False;;;;;;167;True;E5_B4;E5_B4
C_E_maj3_C_64_mel_desc;C_I64_arp;;E5;C5;False;True;;;;;;168;True;E5_C5;E5_C5
G#_E_maj6_E_V6_mel_desc;E_V6_arp;E5;;G#4;False;False;;;;;;169;True;E5_G#4;E5_G#4
G_E_maj6_C_I64_desc;C_I64;E5;;G4;False;True;;;;;;170;True;E5_G4;E5_G4
G_E_maj6_C_I64_mel_desc;C_I64_arp;E5;;G4;False;True;;;;;;171;True;E5_G4;E5_G4
C_F_perf4_F_IV6_mel_desc;F_IV6_arp;;F5;C5;False;True;;;;;;172;True;F5_C5;F5_C5
D_F_min3_Dm_IV64_mel_desc;Dm_IV64_arp;;F5;D5;False;False;;;;;;173;True;F5_D5;F5_D5
A_F_min6_Dm_IV64_mel_desc;Dm_IV64_arp;F5;;A4;False;False;;;;;;174;True;F5_A4;F5_A4
A_F_min6_F_IV6_mel_desc;F_IV6_arp;F5;;A4;False;True;;;;;;175;True;F5_A4;F5_A4
E_G#_min3_E_V64_mel_desc;E_V64_arp;;G#5;E5;False;False;;;;;;176;True;G#5_E5;G#5_E5
B_G#_min6_E_V64_mel_desc;E_V64_arp;G#5;;B4;False;False;;;;;;177;True;G#5_B4;G#5_B4
E_G_min3_C_I_mel_desc;C_I_arp;;G4;E4;False;True;;;;;;178;True;G4_E4;G4_E4
C_G_perf5_C_I_mel_desc;C_I_arp;G4;;C4;False;True;;;;;;179;True;G4_C4;G4_C4
D_G_perf4_G_V6_mel_desc;G_V6_arp;;G5;D5;False;True;;;;;;180;True;G5_D5;G5_D5
B_D_min6_G_V6_mel_desc;G_V6_arp;G5;;B4;False;True;;;;;;181;True;G5_B4;G5_B4
E_A_perf4_Am_I64_mel_desc;Am_I64_arp;A4;E4;;False;False;;;;;;182;True;A4_E4;A4_E4
F_A_maj3_Dm_IV6_mel_desc;Dm_IV6_arp;A4;F4;;False;False;;;;;;183;True;A4_F4;A4_F4
F_A_maj3_F_IV_mel_desc;F_IV_arp;A4;F4;;False;True;;;;;;184;True;A4_F4;A4_F4
G#_B_maj3_E_V6_mel_desc;E_V6_arp;B4;G#4;;False;False;;;;;;185;True;B4_G#4;B4_G#4
G_B_maj3_G_V_mel_desc;G_V_arp;B4;G4;;False;True;;;;;;186;True;B4_G4;B4_G4
A_C_min3_Am_I_mel_desc;Am_I_arp;C4;A3;;False;False;;;;;;187;True;C4_A3;C4_A3
A_C_min3_F_IV6_mel_desc;F_IV6_arp;C5;A4;;False;True;;;;;;188;True;C5_A4;C5_A4
G_C_perf4_C_I64_mel_desc;C_I64_arp;C5;G4;;False;True;;;;;;189;True;C5_G4;C5_G4
A_D_perf4_Dm_IV64_mel_desc;Dm_IV64_arp;D5;A4;;False;False;;;;;;190;True;D5_A4;D5_A4
B_D_min3_G_V6_mel_desc;G_V6_arp;D5;B4;;False;True;;;;;;191;True;D5_B4;D5_B4
C_E_maj3_Am_I6_mel_desc;Am_I6_arp;E4;C4;;False;False;;;;;;192;True;E4_C4;E4_C4
C_E_maj3_C_I_mel_desc;C_I_arp;E4;C4;;False;True;;;;;;193;True;E4_C4;E4_C4
B_E_perf4_E_V64_mel_desc;E_V64_arp;E5;B4;;False;False;;;;;;194;True;E5_B4;E5_B4
D_F_min3_Dm_IV_mel_desc;Dm_IV_arp;F4;D4;;False;False;;;;;;195;True;F4_D4;F4_D4
C_F_perf4_F_IV64_mel_desc;F_IV64_arp;F5;C5;;False;True;;;;;;196;True;F5_C5;F5_C5
E_G#_min3_E_V_mel_desc;E_V_arp;G#4;E4;;False;False;;;;;;197;True;G#4_E4;G#4_E4
E_G_maj3_C_I6_mel_desc;C_I6_arp;G4;E4;;False;True;;;;;;198;True;G4_E4;G4_E4
D_G_perf4_G_V64_mel_desc;G_V64_arp;G5;D5;;False;True;;;;;;199;True;G5_D5;G5_D5
